u,v,key,osmid,highway,name,oneway,reversed,length,lanes,bridge,maxspeed,tunnel,service,access,width,geometry
5683715153,12069482026,0,1204912791,residential,Phố Khương Thượng,False,True,68.86491645086555,,,,,,,,"LINESTRING (105.8254724 21.0052687, 105.824879 21.0055456)"
5683715154,7824877550,0,596710669,service,,False,False,76.95890824707362,,,,,,,,"LINESTRING (105.8248296 21.0045659, 105.8251426 21.0051933)"
5683715154,5683715173,0,596710669,service,,False,True,86.78538376181884,,,,,,,,"LINESTRING (105.8248296 21.0045659, 105.8240766 21.004905)"
5683715164,12069482026,0,1204912791,residential,Phố Khương Thượng,False,False,42.339104453488886,,,,,,,,"LINESTRING (105.8245142 21.0057159, 105.824879 21.0055456)"
5683715164,1494035420,0,1204912791,residential,Phố Khương Thượng,False,True,106.03966736667228,,,,,,,,"LINESTRING (105.8245142 21.0057159, 105.8235974 21.0061365)"
5683715169,11733255298,0,596710678,service,,False,False,84.62221863938962,,,,,parking_aisle,,,"LINESTRING (105.8237418 21.0059446, 105.8244775 21.0056168)"
5683715171,11271416833,0,1216451388,service,,False,False,58.437947913032794,,,,,parking_aisle,,,"LINESTRING (105.8230824 21.0054497, 105.8233402 21.0059169)"
5683715171,5683715173,0,1257110005,service,,False,False,119.66419035737304,,,,,,,,"LINESTRING (105.8230824 21.0054497, 105.8240766 21.004905)"
5683715171,11271416831,0,1257110005,service,,False,True,18.77175645390391,,,,,,,,"LINESTRING (105.8230824 21.0054497, 105.8229195 21.005523)"
5683715173,5683715154,0,596710669,service,,False,False,86.78538376181884,,,,,,,,"LINESTRING (105.8240766 21.004905, 105.8248296 21.0045659)"
5683715173,11733255298,0,596710678,service,,False,True,89.42250204431822,,,,,parking_aisle,,,"LINESTRING (105.8240766 21.004905, 105.8244775 21.0056168)"
5683715173,5683715171,0,1257110005,service,,False,True,119.66419035737304,,,,,,,,"LINESTRING (105.8240766 21.004905, 105.8230824 21.0054497)"
5683792660,7887624772,0,596721698,service,,False,False,47.89998817828554,,,,,,,,"LINESTRING (105.8304244 21.0059666, 105.8308524 21.0058056)"
5683792661,5683792664,0,596721699,service,,False,False,27.786931312911126,,,,,,,,"LINESTRING (105.8266801 21.004925, 105.8267959 21.0051503)"
5683792661,5683792662,0,596721699,service,,False,True,38.6684071895401,,,,,,,,"LINESTRING (105.8266801 21.004925, 105.8263459 21.0050786)"
5683792662,5683792661,0,596721699,service,,False,False,38.6684071895401,,,,,,,,"LINESTRING (105.8263459 21.0050786, 105.8266801 21.004925)"
5683792662,5683792666,0,596721699,service,,False,True,28.33460328569002,,,,,,,,"LINESTRING (105.8263459 21.0050786, 105.8264588 21.0053106)"
5683792663,5683792664,0,596721700,service,,False,True,71.36605200372543,,,,,,,,"LINESTRING (105.8274183 21.0048777, 105.8267959 21.0051503)"
5683792663,7401299935,0,675260212,service,Ngõ 95 Phố Chùa Bộc,False,False,23.546022066205815,,,,,,,,"LINESTRING (105.8274183 21.0048777, 105.8273245 21.0046849)"
5683792663,8324426287,0,675260212,service,Ngõ 95 Phố Chùa Bộc,False,True,22.008512871918686,,,,,,,,"LINESTRING (105.8274183 21.0048777, 105.827506 21.0050579)"
