id,u,v,length,name,geometry
643,270,269,28.538637112949345,Ngõ 1 Tôn Thất Tùng,"LINESTRING (105.8313379 21.0047696, 105.8313097 21.0045143)"
644,270,197,94.39657133640792,,"LINESTRING (105.8313379 21.0047696, 105.8322266 21.0045897)"
645,270,822,40.887679774346246,,"LINESTRING (105.8313379 21.0047696, 105.8309557 21.0048585)"
646,271,2716,19.876510733040966,Phố Xã Đàn,"LINESTRING (105.8362072 21.0119062, 105.8363376 21.0117753)"
647,272,2513,32.40023560278535,Ngõ 15- Phương Mai,"LINESTRING (105.8381935 21.0018447, 105.8382009 21.002136)"
648,273,1556,5.42280793820899,Phố Nguyễn Ngọc Doãn,"LINESTRING (105.8303068 21.0098276, 105.8302566 21.0098141)"
649,273,2010,11.54254028215322,Phố Nguyễn Ngọc Doãn,"LINESTRING (105.8303068 21.0098276, 105.8303301 21.0097261)"
650,273,1773,4.579334239144314,Phố Nguyễn Ngọc Doãn,"LINESTRING (105.8303068 21.0098276, 105.8303255 21.0098649)"
651,274,3562,6.565209807935196,,"LINESTRING (105.8283456 21.008651, 105.8283928 21.0086117)"
652,274,2982,10.130162149099464,,"LINESTRING (105.8283456 21.008651, 105.8283188 21.0087386)"
653,275,2477,2.758287687881702,,"LINESTRING (105.8299354 21.0093967, 105.8299118 21.0094081)"
654,275,3177,24.68860436578545,Phố Nguyễn Ngọc Doãn,"LINESTRING (105.8299354 21.0093967, 105.8298381 21.0091941)"
655,275,370,34.40895271803528,Phố Nguyễn Ngọc Doãn,"LINESTRING (105.8299354 21.0093967, 105.8300876 21.0096716)"
656,276,282,38.26377676191674,Ngõ 12 Chùa Bộc,"LINESTRING (105.8281729 21.0079037, 105.8283309 21.0082146)"
657,277,2500,6.406551256238836,Ngõ 12 Chùa Bộc,"LINESTRING (105.8284342 21.0085784, 105.8284074 21.0085265)"
658,277,284,7.766170587400501,,"LINESTRING (105.8284342 21.0085784, 105.828495 21.0085377)"
659,277,3562,5.67264766287324,,"LINESTRING (105.8284342 21.0085784, 105.8283928 21.0086117)"
660,278,2982,8.362959097170888,,"LINESTRING (105.8283201 21.0088138, 105.8283188 21.0087386)"
661,278,3557,1.0197968279868317,,"LINESTRING (105.8283201 21.0088138, 105.8283245 21.008822)"
662,279,3599,1.9567639992280907,,"LINESTRING (105.8288741 21.0098533, 105.8288658 21.0098375)"
