id,lat,lng,street_count
261,21.0077923,105.8355396,3
262,21.0078461,105.8356008,3
263,21.0078999,105.835332,2
264,21.0087322,105.8359207,4
265,21.0089436,105.8369444,3
266,21.009048,105.8366884,3
267,21.0092338,105.8365137,3
268,21.0042474,105.831251,3
269,21.0045143,105.8313097,4
270,21.0047696,105.8313379,4
271,21.0119062,105.8362072,3
272,21.0018447,105.8381935,1
273,21.0098276,105.8303068,3
274,21.008651,105.8283456,2
275,21.0093967,105.8299354,3
276,21.0079037,105.8281729,2
277,21.0085784,105.8284342,3
278,21.0088138,105.8283201,2
279,21.0098533,105.8288741,4
280,21.0082453,105.8282609,4
281,21.0079298,105.8280924,2
282,21.0082146,105.8283309,3
283,21.0077298,105.8280274,4
284,21.0085377,105.828495,3
285,21.0083876,105.8288513,2
286,21.0113952,105.8275542,1
287,21.0115655,105.8272484,2
288,21.0117074,105.8322455,2
289,21.0122998,105.832979,3
290,21.0120159,105.8318934,3
291,21.0117124,105.8321757,2
292,21.0058955,105.8388501,4
293,21.0058087,105.8397586,3
294,21.0058726,105.8387421,2
295,21.0059861,105.8375505,3
296,21.00577,105.8375848,2
297,21.0054296,105.8376877,2
298,21.0052662,105.8377156,2
299,21.0051048,105.8377317,2
300,21.0049005,105.8377418,2
301,21.0047848,105.8377288,2
302,21.0046889,105.837698,2
303,21.0046336,105.8376536,2
304,21.0045335,105.8375866,2
305,21.0044263,105.8375042,2
306,21.0042813,105.8374486,2
307,21.0041586,105.8374143,2
308,21.004081,105.8374143,2
309,21.0037912,105.8375076,3
310,21.0046395,105.8368619,2
311,21.0002122,105.8404947,3
312,20.9998889,105.8400978,2
313,21.0005761,105.8405152,3
314,21.0072776,105.8406381,2
315,21.0075057,105.8408993,2
316,21.0078489,105.8400025,4
317,20.9991258,105.839314,2
318,21.0030568,105.8211885,3
319,21.0034855,105.8209171,2
320,21.002983,105.8209791,2
321,21.0024545,105.8240705,3
322,21.0028559,105.8242687,2
323,21.0030195,105.8243454,2
324,21.0032326,105.8243869,2
325,21.0033236,105.8243928,4
326,21.0034601,105.8245484,2
327,21.0036347,105.8246704,2
328,21.0039627,105.8248497,2
329,21.0041247,105.8249209,3
330,20.9991448,105.8410633,2
331,21.0040054,105.8383215,3
332,21.0042129,105.840113,4
333,21.0053382,105.8401652,2
334,20.9991174,105.8364845,3
335,20.9993015,105.8349974,2
336,21.0008036,105.829059,4
337,21.0009223,105.8287164,4
338,20.999195,105.8360086,3
339,21.0057238,105.8328041,2
340,21.0055872,105.8327822,2
341,21.0052901,105.8327148,3
342,21.0050128,105.8326688,2
343,21.0043422,105.8325359,2
