osmid,id,y,x,street_count,highway,railway,ref,geometry
5686449774,496,20.9993929,105.8343962,4,,,,POINT (105.8343962 20.9993929)
5686449775,497,21.0000949,105.8346108,1,,,,POINT (105.8346108 21.0000949)
5686449777,498,20.9995826,105.8334989,3,,,,POINT (105.8334989 20.9995826)
5686449778,499,21.0001273,105.833653,1,,,,POINT (105.833653 21.0001273)
5686449781,500,21.0006493,105.8320285,3,,,,POINT (105.8320285 21.0006493)
5686449783,501,21.000018,105.8318431,3,,,,POINT (105.8318431 21.000018)
5686449785,502,21.000735,105.8317245,1,,,,POINT (105.8317245 21.000735)
5686449786,503,20.9996398,105.8362048,2,,,,POINT (105.8362048 20.9996398)
5686449787,504,20.9997316,105.8361323,3,,,,POINT (105.8361323 20.9997316)
5686449788,505,20.9998352,105.8360907,2,,,,POINT (105.8360907 20.9998352)
5686449789,506,20.9999613,105.8360767,2,,,,POINT (105.8360767 20.9999613)
5686449790,507,21.0001691,105.8361639,2,,,,POINT (105.8361639 21.0001691)
5686449791,508,20.9995834,105.8365917,3,,,,POINT (105.8365917 20.9995834)
5686449792,509,21.0001669,105.836594,3,,,,POINT (105.836594 21.0001669)
5686449795,510,21.000258,105.8376052,3,,,,POINT (105.8376052 21.000258)
5686449796,511,21.0002775,105.8366105,3,,,,POINT (105.8366105 21.0002775)
5686449798,512,21.0005091,105.8365934,3,,,,POINT (105.8365934 21.0005091)
5686449799,513,21.0006823,105.8365999,1,,,,POINT (105.8365999 21.0006823)
5686449801,514,21.0012199,105.8347348,2,,,,POINT (105.8347348 21.0012199)
5686449802,515,21.0011803,105.8346337,2,,,,POINT (105.8346337 21.0011803)
5686449803,516,21.0011493,105.8345641,3,,,,POINT (105.8345641 21.0011493)
5686449804,517,21.0030379,105.8324519,1,,,,POINT (105.8324519 21.0030379)
5686449805,518,21.0028274,105.832578,2,,,,POINT (105.832578 21.0028274)
5686449806,519,21.0023665,105.832927,2,,,,POINT (105.832927 21.0023665)
5686449807,520,21.0020869,105.8333233,2,,,,POINT (105.8333233 21.0020869)
5686449808,521,21.0018815,105.8337026,2,,,,POINT (105.8337026 21.0018815)
5686449809,522,21.0016127,105.8341334,2,,,,POINT (105.8341334 21.0016127)
5686449810,523,21.0014075,105.8343821,2,,,,POINT (105.8343821 21.0014075)
5686449812,524,21.0011318,105.8329957,1,,,,POINT (105.8329957 21.0011318)
5686449813,525,21.0012561,105.8323947,2,,,,POINT (105.8323947 21.0012561)
5686449814,526,21.0012256,105.8322385,3,,,,POINT (105.8322385 21.0012256)
5686449815,527,21.0015183,105.8309105,2,,,,POINT (105.8309105 21.0015183)
5686449818,528,21.0017995,105.8329142,1,,,,POINT (105.8329142 21.0017995)
5686502523,529,21.002739,105.8386856,1,,,,POINT (105.8386856 21.002739)
5686502524,530,21.0017217,105.8385342,2,,,,POINT (105.8385342 21.0017217)
5686502526,531,21.0017278,105.838659,3,,,,POINT (105.838659 21.0017278)
